n,51,598116.41,1138845.56
n,51,597729.4,1139858.81
n,51,598078.87,1139877.59
n,51,598107.04,1139883.8
n,51,597962.17,1139385.56
n,51,597903.46,1139794.81
n,51,598684.77,1138110.6
n,51,598835.26,1138073.67
n,51,599678.87,1138893.15
n,51,598416.95,1138091.17
n,51,599451.62,1139480.8
n,51,598740.22,1138446.93
n,51,597833.01,1137734.61
n,51,597833.01,1137734.61
n,51,596763.13,1138763.5
n,51,600270.61,1140265.18
n,51,595165.37,1136984.79
n,51,592895.86,1135963.3
n,51,595854.21,1137733.76
n,51,599859.36,1143576.43
n,51,600398.93,1146712.71
n,51,599130.77,1143255.73
n,51,600277.97,1145376.69
n,51,600766.93,1150242.63
n,51,598126.99,1138425.37
n,51,598349.33,1142087.55
n,51,597006.77,1140725.19
n,51,596482.9,1142388.18
n,51,597604.79,1139463.94
n,51,597572.01,1140331.57
n,51,595520.12,1137882.27
n,51,595848.76,1138009.24
n,51,595801.66,1138046.46
n,51,596145.38,1137813.94
n,51,594215.61,1135338.69
